测试名称,准考证号,开始时间,结束时间,user_agent,client_ip,name,place
tsing/ds,2203001,2022-06-20T09:32:04.524+08:00,2022-06-20T10:00:08.845+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.9 Safari/537.36",124.207.81.178,大学生1,北京
tsing/ds,2203002,2022-06-20T10:19:00.938+08:00,2022-06-20T10:26:36.21+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",39.144.218.20,大学生2,重庆
tsing/ds,2203003,2022-06-20T14:40:16.233+08:00,2022-06-20T14:53:42.695+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1",42.80.156.55,大学生3,天津
tsing/ds,2203004,2022-06-20T15:41:30.685+08:00,2022-06-20T16:08:33.779+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.18(0x1800123f) NetType/4G Language/zh_CN",39.144.43.212,大学生4,上海
tsing/ds,2203005,2022-06-20T15:19:45.978+08:00,2022-06-20T15:43:06.922+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",117.187.100.123,大学生5,贵州
tsing/ds,2203006,2022-06-20T15:26:25.384+08:00,2022-06-20T15:43:57.536+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",113.246.243.106,大学生6,湖南
tsing/ds,2203007,2022-06-20T16:20:15.534+08:00,2022-06-20T16:33:16.713+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0 Mobile/15E148 Safari/604.1",223.104.247.25,大学生7,浙江
tsing/ds,2203008,2022-06-20T15:50:08.898+08:00,2022-06-20T16:06:18.494+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",117.136.24.179,大学生8,湖南
tsing/ds,2203009,2022-06-20T16:08:11.51+08:00,2022-06-20T16:44:31.984+08:00,"Mozilla/5.0 (Linux; Android 10; SPN-AL00 Build/HUAWEISPN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220105 Mobile Safari/537.36 MMWEBID/8050 MicroMessenger/8.0.19.2080(0x2800133D) Process/toolsmp WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",183.214.32.219,大学生9,湖南
tsing/ds,2203010,2022-06-20T16:11:43.636+08:00,2022-06-20T16:22:40.958+08:00,"Mozilla/5.0 (Linux; Android 10; JEF-AN00 Build/HUAWEIJEF-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220402 Mobile Safari/537.36 MMWEBID/8780 MicroMessenger/8.0.22.2140(0x28001657) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",223.148.165.129,大学生10,湖南
